2025-05-27T13:07:56
Configurations(Methods):
Name,Touch Interfaces
config01,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
98,940,100,11589,11561,11605,11875,13590
98,940,100,11583,11550,11614,11858,13596
98,940,100,11599,11568,11631,11872,13596
97,940,100,11558,11571,11557,12039,13528
96,940,100,11556,11565,11622,12116,13453
94,940,100,11569,11566,11585,12298,13214
92,940,100,11598,11579,11587,12408,13120
88,940,100,11567,11583,11587,12585,12940
84,940,100,11550,11551,11609,12679,12822
79,940,100,11579,11592,11639,12735,12719
75,940,100,11588,11585,11607,12938,12526
73,940,100,11569,11577,11622,13020,12413
72,940,100,11573,11585,11640,13069,12292
72,940,100,11573,11573,11648,13175,12269
71,940,100,11579,11629,11663,13235,12169
71,940,100,11576,11585,11701,13305,12148
71,940,100,11587,11557,11749,13297,12058
70,940,100,11569,11583,11814,13313,11977
70,940,100,11593,11587,11876,13325,11887
69,940,100,11604,11605,11926,13328,11777
68,940,100,11556,11577,12104,13168,11778
67,940,100,11553,11630,12179,13069,11720
67,940,100,11581,11592,12283,12981,11766
66,940,100,11599,11592,12388,12906,11738
61,940,100,11577,11589,12653,12715,11749
58,940,100,11591,11604,12760,12642,11780
55,940,100,11589,11598,12839,12476,11723
54,940,100,11595,11629,12987,12413,11730
52,940,100,11611,11699,13128,12230,11742
51,940,100,11603,11694,13192,12144,11741
51,940,100,11600,11725,13221,12059,11699
50,940,100,11590,11753,13255,11993,11714
50,940,100,11597,11836,13267,11938,11730
49,940,100,11567,11917,13217,11798,11729
49,940,100,11581,11968,13171,11792,11725
48,940,100,11572,12079,13140,11788,11738
46,940,100,11576,12279,12867,11687,11682
45,940,100,11598,12378,12783,11704,11713
43,940,100,11551,12479,12676,11683,11711
32,940,100,11607,12921,12174,11687,11676
31,940,100,11643,13001,12033,11688,11688
30,940,100,11758,13139,11800,11691,11660
29,940,100,11864,13132,11754,11680,11599
28,940,100,11985,13073,11712,11644,11671
27,940,100,12113,12973,11640,11644,11637
26,940,100,12262,12866,11661,11653,11654
25,940,100,12344,12743,11601,11661,11618
20,940,100,12533,12582,11623,11609,11639
13,940,100,12627,12432,11597,11640,11597
4,940,100,13021,12099,11557,11627,11653
3,940,100,13105,12016,11596,11624,11683
2,940,100,13181,11921,11617,11645,11661
1,940,100,13214,11853,11592,11638,11687
1,940,100,13270,11797,11590,11635,11636
1,940,100,13295,11791,11563,11642,11680
0,940,100,13342,11703,11561,11699,11645
0,940,100,13273,11658,11582,11647,11637
0,940,100,13189,11626,11567,11673,11687
1,940,100,13064,11600,11585,11679,11705
1,940,100,12941,11607,11605,11693,11665
1,940,100,12796,11591,11574,11671,11694
1,940,100,12627,11611,11601,11715,11692
0,940,100,12144,11640,11608,11674,11728
65535,940,100,12049,11618,11606,11695,11694
65535,940,100,11915,11625,11578,11688,11704
65535,940,100,11877,11607,11582,11698,11712
65535,940,100,11818,11625,11579,11688,11683
65535,940,100,11785,11606,11609,11708,11682
65535,940,100,11640,11612,11566,11661,11645
65535,940,100,11572,11575,11558,11666,11633
65535,940,100,11551,11541,11525,11626,11638
65535,940,100,11539,11547,11561,11635,11657
65535,940,100,11550,11530,11501,11604,11656
65535,940,100,11568,11533,11514,11606,11651
65535,940,100,11567,11551,11556,11637,11629
65535,940,100,11584,11533,11572,11636,11642
65535,940,100,11563,11558,11570,11660,11659
65535,940,100,11553,11547,11504,11631,11621
65535,940,100,11618,11560,11512,11673,11649
65535,940,100,11722,11575,11570,11694,11673
65535,940,100,11800,11591,11571,11694,11666
65535,940,100,11882,11636,11569,11704,11711
65535,940,100,11950,11600,11546,11674,11702
1,940,100,12097,11636,11560,11684,11705
0,940,100,12393,11607,11573,11673,11692
1,940,100,12662,11624,11614,11688,11696
1,940,100,12842,11626,11591,11668,11661
0,940,100,12961,11677,11539,11653,11649
2,940,100,12816,11892,11562,11682,11652
8,940,100,12510,12148,11581,11638,11712
29,940,100,11888,12786,11691,11660,11700
30,940,100,11751,12684,11887,11671,11703
65535,940,100,11664,12290,12311,11693,11714
49,940,100,11651,11850,12812,11795,11677
50,940,100,11643,11736,12897,11825,11709
51,940,100,11651,11687,12854,11942,11725
53,940,100,11628,11682,12642,12159,11731
65535,940,100,11619,11626,12287,12445,11760
69,940,100,11594,11605,11835,12765,11760
71,940,100,11632,11590,11660,12819,11902
65535,940,100,11614,11598,11587,12401,12297
96,940,100,11639,11583,11600,11992,12824
98,940,100,11571,11614,11555,11779,12968
98,940,100,11602,11601,11570,11708,12646
65535,940,100,11609,11603,11576,11672,12049
65535,940,100,11603,11581,11592,11687,11741
65535,940,100,11591,11620,11571,11662,11675
65535,940,100,11639,11567,11544,11598,11659
65535,940,100,11597,11562,11573,11629,11657
65535,940,100,11612,11561,11591,11600,11667
65535,940,100,11612,11603,11591,11606,11654
65535,940,100,11617,11587,11572,11645,11762
65535,940,100,11611,11566,11563,11659,11861
98,940,100,11615,11569,11574,11663,12419
97,940,100,11602,11568,11608,11917,13080
86,940,100,11623,11593,11621,12371,12546
69,940,100,11603,11609,11851,12946,11821
65535,940,100,11623,11622,12365,12441,11733
50,940,100,11608,11736,12893,11810,11639
46,940,100,11601,12096,12604,11659,11657
32,940,100,11657,12648,11999,11664,11652
29,940,100,11849,12897,11699,11664,11651
25,940,100,12193,12563,11617,11629,11660
4,940,100,12737,11986,11569,11654,11675
0,940,100,13068,11716,11562,11624,11659
1,940,100,12641,11613,11590,11643,11692
65535,940,100,12048,11604,11597,11645,11618
65535,940,100,11745,11596,11559,11731,11666
70,940,100,11574,12437,11540,12748,11618
65535,940,100,11554,11616,11497,11711,11624
65535,940,100,11556,11523,11556,11637,11650
65535,940,100,11590,11552,11557,11640,11637
65535,940,100,11598,11561,11560,11637,11670
65535,940,100,11687,11613,11619,11716,11654
65535,940,100,11917,11578,11596,11650,11679
0,940,100,12683,11606,11557,11682,11683
1,940,100,12964,11820,11595,11672,11666
65535,940,100,12361,12311,11624,11660,11693
45,940,100,11606,12151,12427,11682,11659
65535,940,100,11583,11609,12271,12355,11686
72,940,100,11605,11574,11645,12793,12066
96,940,100,11626,11576,11594,11967,13009
98,940,100,11589,11572,11566,11700,12601
65535,940,100,11581,11552,11551,11667,11798
65535,940,100,11572,11574,11579,11640,11621
65535,940,100,11582,11555,11519,11641,11659
65535,940,100,11569,11550,11543,11640,11637
65535,940,100,11582,11537,11516,11638,11663
65535,940,100,11569,11543,11560,11653,11672
65535,940,100,11557,11522,11570,11627,11700
65535,940,100,11568,11582,11582,11672,11775
98,940,100,11566,11557,11558,11672,12183
98,940,100,11568,11600,11597,11780,13185
73,940,100,11607,11566,11616,12731,12189
69,940,100,11558,11558,11822,13022,11779
66,940,100,11578,11568,12227,12662,11693
51,940,100,11559,11633,12848,11940,11699
47,940,100,11607,12116,12658,11709,11683
30,940,100,11668,12880,11799,11683,11699
22,940,100,12305,12451,11581,11651,11618
0,940,100,12438,11576,11518,11656,11638
70,940,100,11570,13364,11551,14739,11610
65535,940,100,11535,11588,11536,11727,11548
65535,940,100,11545,11525,11521,11587,11623
65535,940,100,11565,11529,11522,11579,11605
65535,940,100,11543,11511,11502,11632,11586
65535,940,100,11530,11524,11531,11620,11636
65535,940,100,11551,11513,11504,11599,11561
65535,940,100,11555,11515,11502,11595,11592
65535,940,100,11528,11524,11498,11601,11600
65535,940,100,11547,11511,11538,11599,11599
65535,940,100,11563,11517,11562,11598,11601
65535,940,100,11548,11506,11554,11557,11589
